product_url,product_name,product_category_tree,pid,retail_price,discounted_price,,Date
http://www.flipkart.com/momin-libas-ak2414-kashibo-solid-abaya-no/p/itmej7ypx52wk3th?pid=ABQEJ7YQTNQGMXZV,Momin Libas AK2414 Kashibo Solid Abaya No,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Abayas & Burqas >> Momin Libas Abayas & Burqas >> Momin Libas AK2414 Kashibo Solid Abaya No (Blue)""]",ABQEJ7YQTNQGMXZV,3999,2428,,01-11-2022
http://www.flipkart.com/acm-pouch-swipe-elite-plus/p/itmejgyywrztzmzf?pid=ACCEJGYYMTQR4JXY,ACM Pouch for Swipe Elite Plus,"[""Mobiles & Accessories >> Mobile Accessories >> Mobile Pouches >> ACM Mobile Pouches >> ACM Pouch for Swipe Elite Plus (Black)""]",ACCEJGYYMTQR4JXY,990,369,,01-11-2022
http://www.flipkart.com/r-enterprises-musical-wlking-cow/p/itmejjaqyfxngngk?pid=MTYEJJAQYHCNKYZZ,A R ENTERPRISES musical wlking cow,"[""Toys & School Supplies >> Musical Instruments & Toys >> A R ENTERPRISES Musical Instruments & Toys >> A R ENTERPRISES musical wlking cow (Multicolor)""]",MTYEJJAQYHCNKYZZ,999,329,,01-11-2022
http://www.flipkart.com/first-choice-cotton-embroidered-diwan-set/p/itmejj8uqvy8zdrz?pid=DSTEJJ8UAQSHGFDV,First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",DSTEJJ8UAQSHGFDV,2199,1009,,01-11-2022
http://www.flipkart.com/santosh-royal-fashion-cotton-embroidered-diwan-set/p/itmejjexzqffezrf?pid=DSTEJJEXFWXKBDYM,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> SANTOSH ROYAL FASHION Diwan Sets >> SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set""]",DSTEJJEXFWXKBDYM,2199,1009,,01-11-2022
http://www.flipkart.com/first-choice-cotton-embroidered-diwan-set/p/itmejj8uv5vfdzmg?pid=DSTEJJ8UFYUTSZ3F,First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",DSTEJJ8UFYUTSZ3F,2199,1009,,01-11-2022
http://www.flipkart.com/shoebuzz-casuals/p/itmejkk3fzg9bhht?pid=SHOEJKK3VZGHMT6T,ShoeBuzz Casuals,"[""Footwear >> Men's Footwear >> Casual Shoes >> ShoeBuzz Casual Shoes >> ShoeBuzz Casuals""]",SHOEJKK3VZGHMT6T,799,277,,01-11-2022
http://www.flipkart.com/zed-loafers/p/itmejgfuwakdsqnc?pid=SHOEJGFU7RXZXFEM,Zed Loafers,"[""Footwear >> Men's Footwear >> Casual Shoes >> Zed Casual Shoes >> Zed Loafers""]",SHOEJGFU7RXZXFEM,499,529,,01-11-2022
http://www.flipkart.com/house-queen-cotton-duvet-cover/p/itmejhvezqqfgrhm?pid=DCVEJHVEMXYT6UF6,House This Queen Cotton Duvet Cover,"[""Home Furnishing >> Bed Linen >> Duvet Covers >> House This Duvet Covers >> House This Queen Cotton Duvet Cover (Grey)""]",DCVEJHVEMXYT6UF6,1160,1190,,01-11-2022
http://www.flipkart.com/acm-pouch-intex-aqua-lions-3g/p/itmejgyy7mnvcvqg?pid=ACCEJGYYYCGETMGA,ACM Pouch for Intex Aqua Lions 3g,"[""Mobiles & Accessories >> Mobile Accessories >> Mobile Pouches >> ACM Mobile Pouches >> ACM Pouch for Intex Aqua Lions 3g (Purple)""]",ACCEJGYYYCGETMGA,990,369,,01-11-2022
